,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2365,Maruti,"34,278",Baleno,2017,Petrol,6.53
2366,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2367,Mahindra,"46,365",Thar,2017,Diesel,7.72
2368,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2369,Maruti,"76,734",Swift,2015,Diesel,3.76
2370,Maruti,"86,294",Swift,2014,Diesel,4.11
2371,Maruti,"39,781",Baleno,2017,Petrol,5.96
2372,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2373,Hyundai,"45,716",Creta,2018,Petrol,8.99
2374,Maruti,"72,880",Wagon,2011,Petrol,1.70
2375,BMW,"85,000",X5,2015,Diesel,31.25
2376,Ford,"70,000",Endeavour,2017,Diesel,24.60
2377,Honda,"75,000",CR-V,2016,Petrol,11.51
2378,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2379,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2380,Renault,"23,290",KWID,2017,Petrol,3.43
2381,Tata,"96,177",Harrier,2019,Diesel,12.88
2382,Maruti,"14,190",Alto,2018,Petrol,3.86
2383,Maruti,"50,969",Celerio,2018,CNG,5.13
2384,Honda,"26,736",Jazz,2017,Petrol,6.90
2385,Maruti,"34,278",Baleno,2017,Petrol,6.53
2386,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2387,Mahindra,"46,365",Thar,2017,Diesel,7.72
2388,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2389,Maruti,"76,734",Swift,2015,Diesel,3.76
2390,Maruti,"86,294",Swift,2014,Diesel,4.11
2391,Maruti,"39,781",Baleno,2017,Petrol,5.96
2392,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2393,Hyundai,"45,716",Creta,2018,Petrol,8.99
2394,Maruti,"72,880",Wagon,2011,Petrol,1.70
2395,BMW,"85,000",X5,2015,Diesel,31.25
2396,Ford,"70,000",Endeavour,2017,Diesel,24.60
2397,Honda,"75,000",CR-V,2016,Petrol,11.51
2398,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2399,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2400,Renault,"23,290",KWID,2017,Petrol,3.43
2401,Tata,"96,177",Harrier,2019,Diesel,12.88
2402,Maruti,"14,190",Alto,2018,Petrol,3.86
2403,Maruti,"50,969",Celerio,2018,CNG,5.13
2404,Honda,"26,736",Jazz,2017,Petrol,6.90
2405,Maruti,"34,278",Baleno,2017,Petrol,6.53
2406,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2407,Mahindra,"46,365",Thar,2017,Diesel,7.72
2408,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2409,Maruti,"76,734",Swift,2015,Diesel,3.76
2410,Maruti,"86,294",Swift,2014,Diesel,4.11
